filename,source,case_id,slice_idx,image_path,infection_mask_path,lung_mask_path,scribble_path,lesion_pixels,lung_pixels,scribble_fg_pixels,scribble_bg_pixels,split_clean
Jun_coronacases_case10_100.png,Jun,Jun_coronacases_case10,100,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_100.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_100.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_100.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_100.npy,1586,43159,300,300,train
Jun_coronacases_case10_101.png,Jun,Jun_coronacases_case10,101,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_101.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_101.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_101.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_101.npy,1507,43287,283,300,train
Jun_coronacases_case10_102.png,Jun,Jun_coronacases_case10,102,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_102.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_102.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_102.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_102.npy,1551,43157,289,300,train
Jun_coronacases_case10_103.png,Jun,Jun_coronacases_case10,103,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_103.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_103.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_103.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_103.npy,1661,43553,320,300,train
Jun_coronacases_case10_104.png,Jun,Jun_coronacases_case10,104,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_104.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_104.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_104.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_104.npy,1585,43549,295,300,train
Jun_coronacases_case10_105.png,Jun,Jun_coronacases_case10,105,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_105.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_105.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_105.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_105.npy,1432,43805,263,300,train
Jun_coronacases_case10_106.png,Jun,Jun_coronacases_case10,106,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_106.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_106.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_106.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_106.npy,1592,43923,303,300,train
Jun_coronacases_case10_107.png,Jun,Jun_coronacases_case10,107,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_107.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_107.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_107.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_107.npy,1556,43866,297,300,train
Jun_coronacases_case10_108.png,Jun,Jun_coronacases_case10,108,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_108.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_108.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_108.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_108.npy,1540,43702,292,300,train
Jun_coronacases_case10_109.png,Jun,Jun_coronacases_case10,109,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_109.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_109.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_109.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_109.npy,1512,43738,286,300,train
Jun_coronacases_case10_110.png,Jun,Jun_coronacases_case10,110,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_110.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_110.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_110.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_110.npy,1594,43647,299,300,train
Jun_coronacases_case10_111.png,Jun,Jun_coronacases_case10,111,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_111.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_111.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_111.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_111.npy,1533,43835,284,300,train
Jun_coronacases_case10_112.png,Jun,Jun_coronacases_case10,112,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_112.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_112.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_112.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_112.npy,1759,43824,336,300,train
Jun_coronacases_case10_113.png,Jun,Jun_coronacases_case10,113,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_113.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_113.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_113.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_113.npy,1704,43775,335,300,train
Jun_coronacases_case10_114.png,Jun,Jun_coronacases_case10,114,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_114.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_114.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_114.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_114.npy,1658,43854,324,300,train
Jun_coronacases_case10_115.png,Jun,Jun_coronacases_case10,115,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_115.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_115.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_115.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_115.npy,1786,43930,354,300,train
Jun_coronacases_case10_116.png,Jun,Jun_coronacases_case10,116,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_116.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_116.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_116.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_116.npy,1804,44062,361,300,train
Jun_coronacases_case10_117.png,Jun,Jun_coronacases_case10,117,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_117.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_117.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_117.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_117.npy,1661,43941,315,300,train
Jun_coronacases_case10_118.png,Jun,Jun_coronacases_case10,118,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_118.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_118.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_118.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_118.npy,1692,44040,328,300,train
Jun_coronacases_case10_119.png,Jun,Jun_coronacases_case10,119,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_119.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_119.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case10_119.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_119.npy,1764,44035,346,300,train
