case_id,slice_idx,image_prev_path,image_path,image_next_path,infection_mask_path,lung_mask_path,scribble_path,lesion_pixels,lung_pixels,scribble_fg_pixels,scribble_bg_pixels
study_0255,8,data/dataset2_mosmed/processed/images/study_0255_slice_008.npy,data/dataset2_mosmed/processed/images/study_0255_slice_008.npy,data/dataset2_mosmed/processed/images/study_0255_slice_009.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_008.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_008.npy,data/dataset2_mosmed/scribbles/study_0255_slice_008.npy,0,62500,0,0
study_0255,9,data/dataset2_mosmed/processed/images/study_0255_slice_008.npy,data/dataset2_mosmed/processed/images/study_0255_slice_009.npy,data/dataset2_mosmed/processed/images/study_0255_slice_010.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_009.npy,data/dataset2_mosmed/scribbles/study_0255_slice_009.npy,0,62500,0,0
study_0255,10,data/dataset2_mosmed/processed/images/study_0255_slice_009.npy,data/dataset2_mosmed/processed/images/study_0255_slice_010.npy,data/dataset2_mosmed/processed/images/study_0255_slice_011.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_010.npy,data/dataset2_mosmed/scribbles/study_0255_slice_010.npy,17,62500,7,224
study_0255,11,data/dataset2_mosmed/processed/images/study_0255_slice_010.npy,data/dataset2_mosmed/processed/images/study_0255_slice_011.npy,data/dataset2_mosmed/processed/images/study_0255_slice_012.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_011.npy,data/dataset2_mosmed/scribbles/study_0255_slice_011.npy,542,62500,184,217
study_0255,12,data/dataset2_mosmed/processed/images/study_0255_slice_011.npy,data/dataset2_mosmed/processed/images/study_0255_slice_012.npy,data/dataset2_mosmed/processed/images/study_0255_slice_013.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_012.npy,data/dataset2_mosmed/scribbles/study_0255_slice_012.npy,509,62500,224,218
study_0255,13,data/dataset2_mosmed/processed/images/study_0255_slice_012.npy,data/dataset2_mosmed/processed/images/study_0255_slice_013.npy,data/dataset2_mosmed/processed/images/study_0255_slice_014.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_013.npy,data/dataset2_mosmed/scribbles/study_0255_slice_013.npy,672,62500,190,219
study_0255,14,data/dataset2_mosmed/processed/images/study_0255_slice_013.npy,data/dataset2_mosmed/processed/images/study_0255_slice_014.npy,data/dataset2_mosmed/processed/images/study_0255_slice_015.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_014.npy,data/dataset2_mosmed/scribbles/study_0255_slice_014.npy,915,62500,237,218
study_0255,15,data/dataset2_mosmed/processed/images/study_0255_slice_014.npy,data/dataset2_mosmed/processed/images/study_0255_slice_015.npy,data/dataset2_mosmed/processed/images/study_0255_slice_016.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_015.npy,data/dataset2_mosmed/scribbles/study_0255_slice_015.npy,1052,62500,258,217
study_0255,16,data/dataset2_mosmed/processed/images/study_0255_slice_015.npy,data/dataset2_mosmed/processed/images/study_0255_slice_016.npy,data/dataset2_mosmed/processed/images/study_0255_slice_017.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_016.npy,data/dataset2_mosmed/scribbles/study_0255_slice_016.npy,1536,62500,421,212
study_0255,17,data/dataset2_mosmed/processed/images/study_0255_slice_016.npy,data/dataset2_mosmed/processed/images/study_0255_slice_017.npy,data/dataset2_mosmed/processed/images/study_0255_slice_018.npy,data/dataset2_mosmed/processed/infection_masks/study_0255_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_017.npy,data/dataset2_mosmed/scribbles/study_0255_slice_017.npy,1289,62500,275,213
