case_id,ct_path,infection_mask_path,lung_mask_path,lung_infection_mask_path,has_infection_mask,has_lung_mask,has_lung_infection_mask
coronacases_001,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_001.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_001.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_001.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_001.nii,True,True,True
coronacases_002,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_002.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_002.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_002.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_002.nii,True,True,True
coronacases_003,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_003.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_003.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_003.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_003.nii,True,True,True
coronacases_004,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_004.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_004.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_004.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_004.nii,True,True,True
coronacases_005,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_005.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_005.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_005.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_005.nii,True,True,True
coronacases_006,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_006.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_006.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_006.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_006.nii,True,True,True
coronacases_007,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_007.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_007.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_007.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_007.nii,True,True,True
coronacases_008,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_008.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_008.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_008.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_008.nii,True,True,True
coronacases_009,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_009.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_009.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_009.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_009.nii,True,True,True
coronacases_010,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/coronacases_org_010.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/coronacases_010.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/coronacases_010.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/coronacases_010.nii,True,True,True
