threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.005,0,0.8028991249970265,0.7137092817429032,0.8585734577463643,0.9960843467751506,0.8111699197745271,0.9939338012062913,0.003915653226416894,0.25541617984684384,0.006066199
0.005,3,0.8028945353174034,0.7137051998788705,0.8585159902771531,0.996085644169797,0.8112157851806933,0.9939335640230416,0.003914355831770619,0.255473647316055,0.006066436
0.005,5,0.8028421603881556,0.7136368493844845,0.858344390456236,0.9960873514228641,0.8112766027575535,0.9939306387629622,0.003912648578703279,0.2556452471369721,0.006069361
0.005,10,0.8021622943347636,0.713106908962787,0.8572867253086541,0.9960977391422532,0.8119304551487498,0.9939285831747984,0.003902260859314439,0.2567029122845543,0.0060714167
0.005,20,0.7980778482673967,0.710034092599572,0.8531950661886266,0.9961166852147512,0.8119761670061949,0.9939101619424068,0.0038833147868165383,0.2607945714045816,0.006089838
0.005,30,0.7946152252205857,0.7065993067174586,0.8468132214411513,0.9961444898341888,0.8114013321739489,0.993891977893265,0.0038555101673790663,0.26717641615205673,0.0061080223
0.005,50,0.7852430231379385,0.6991747062337674,0.8334270701152365,0.9962267955216721,0.8239324035046981,0.9938210601016119,0.003773204479895677,0.2805625674779713,0.0061789397
0.005,75,0.777775238286185,0.6938722162554654,0.8223407738719648,0.9963299554775645,0.8273044115627185,0.9938023226248875,0.0036700445240032643,0.29164886372124316,0.0061976775
0.005,100,0.7660984716915284,0.6830252027374621,0.8040706348983159,0.9964351725498989,0.8349906139939955,0.9937339347878976,0.0035648274516690073,0.3099190026948924,0.0062660654
0.01,0,0.8038778688093743,0.7151354503835429,0.8502228664968996,0.996376452855007,0.8203490741242483,0.9940206893367556,0.003623547146560478,0.2637667710963085,0.0059793107
0.01,3,0.803607570793801,0.7149256119620675,0.8499619234498127,0.9963781834281517,0.8204085564519418,0.9940200568480898,0.003621816573416024,0.2640277141433955,0.005979943
0.01,5,0.8034843931520655,0.7148076459724132,0.8497550973397605,0.9963804073159498,0.8205973227874489,0.9940195034205073,0.0036195926856176686,0.26423454025344767,0.0059804968
0.01,10,0.8033252688627931,0.7146877214149292,0.8492232755694487,0.996388447840077,0.8207425295916292,0.9940143644500976,0.0036115521614907137,0.2647663620237595,0.0059856353
0.01,20,0.7995784465817761,0.7116708779075225,0.8447491633131481,0.9964070600338094,0.8216157823942853,0.9939938876295422,0.0035929399677579227,0.26924047428006004,0.0060061123
0.01,30,0.7944001488431177,0.7071555468686904,0.8370705588324459,0.9964397517502868,0.8234645406074728,0.9939777591685642,0.003560248251280644,0.2769190787607621,0.006022241
0.01,50,0.7861576018455797,0.7004598103058681,0.8258361737689983,0.9964993428876614,0.8314692837992071,0.9938934009927629,0.0035006571139059414,0.28815346382420964,0.0061065992
0.01,75,0.7790619422680847,0.6952950616708227,0.81550154706066,0.9965976179768078,0.8347340419871628,0.9938718963781256,0.0034023820247595254,0.2984880905325479,0.0061281035
0.01,100,0.7626675854054225,0.6803137800299338,0.7933029061076993,0.9967003872562918,0.8430035828741035,0.9937801855215844,0.0032996127452759086,0.32068673148550836,0.0062198145
0.015,0,0.8038955299323147,0.7153479603517818,0.8451626748027885,0.9965370958236703,0.8247659126034118,0.9940611686113671,0.0034629041778977175,0.2688269627904196,0.0059388313
0.015,3,0.8037541555441752,0.7152624245180682,0.8449809031006537,0.9965392234286001,0.8248430155430324,0.9940617220389496,0.003460776572968129,0.2690087344925546,0.005938278
0.015,5,0.8036543323110032,0.7151779694412941,0.8448114673386149,0.9965404466502213,0.8250413836265788,0.9940609314281174,0.003459553351346771,0.2691781702545934,0.0059390687
0.015,10,0.8032251969507856,0.7146215510937957,0.8437464475814964,0.9965488486484725,0.8252942049538491,0.9940528671976283,0.003451151353095759,0.27024319001171176,0.0059471326
0.015,20,0.7990665593888284,0.711224818425335,0.8387919797481664,0.996568994529654,0.8256384358633186,0.9940328647435723,0.003431005471914293,0.27519765784504174,0.005967135
0.015,30,0.7946920986383895,0.7075402845187038,0.8323486430463501,0.9965975712036192,0.8282815551426115,0.9940161828550118,0.0034024287979488774,0.28164099454685776,0.005983817
0.015,50,0.7869107088926915,0.7013666803750452,0.8223812166214896,0.9966559683596377,0.8358592859218259,0.993937279893953,0.003344031641930331,0.29160842097171835,0.00606272
