threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.005,0,0.7938247201148173,0.7030754439038924,0.870787117884277,0.9952750963095836,0.7902470269349404,0.9934345304657235,0.004724903691983822,0.24320251970893117,0.0065654693
0.005,3,0.7938337649756437,0.7030958977183626,0.8707010018676845,0.99527779064972,0.7903147892502402,0.9934357163819718,0.00472220935184739,0.24328863572552356,0.0065642837
0.005,5,0.7937332346551921,0.703020280466836,0.8705299328369188,0.9952811971671085,0.7903211989558173,0.9934361907484712,0.004718802834459115,0.24345970475628936,0.0065638092
0.005,10,0.7936610965945833,0.7029707728737734,0.8698977365269368,0.9952981195696204,0.7906639859782643,0.993437534786886,0.004701880431947217,0.24409190106627143,0.0065624653
0.005,20,0.7921444842709133,0.7018763230888303,0.8670063890440368,0.9953280607545566,0.7928231122141506,0.9934311308391448,0.004671939247010843,0.24698324854917134,0.006568869
0.005,30,0.7864736244767857,0.6969227403475369,0.8592820720811976,0.9953695702584592,0.7935468947428428,0.9934159511111655,0.004630429743108191,0.25470756551201046,0.0065840487
0.005,50,0.7798032139140766,0.6914729846346821,0.8493724870589618,0.9954511984707147,0.7979020230438139,0.9933728628208077,0.0045488015308523255,0.2646171505342461,0.0066271373
0.005,75,0.7748338658385401,0.6870087666475585,0.8364050897658,0.995576926084308,0.8010698105383972,0.9933296164082834,0.004423073917259129,0.2775845478274075,0.0066703837
0.005,100,0.7732875840559968,0.6851231381979633,0.8277364409236143,0.9956840942954047,0.804616881195805,0.9933141994970546,0.004315905706162781,0.28625319666959315,0.0066858004
0.01,0,0.7967286717825905,0.7066560478104466,0.8612504047951158,0.9956876582022899,0.8018776458707515,0.9936162128349755,0.004312341799277813,0.2527392327980925,0.0063837874
0.01,3,0.7967333462957995,0.706670698505539,0.8612006550533521,0.9956897276482122,0.8019257026680617,0.9936165290793083,0.0043102723533555345,0.2527889825398562,0.0063834707
0.01,5,0.7966236821422409,0.7065727308207346,0.8610136974997229,0.9956925337637318,0.8019160802815666,0.9936164500182251,0.004307466237836083,0.25297594009348534,0.00638355
0.01,10,0.7964767291448627,0.7064338689090985,0.86028327355194,0.9957052859454188,0.8022698516810501,0.9936149478576438,0.004294714056149011,0.2537063640412681,0.006385052
0.01,20,0.7916899354549531,0.7027741812138696,0.8549923184440149,0.9957312083390516,0.8045774741515689,0.9936027724508271,0.004268791662516271,0.25899731914919316,0.0063972278
0.01,30,0.7890302198768715,0.699940412021599,0.8489098034235427,0.9957695682484579,0.8050348581657194,0.993586248684433,0.004230431753110154,0.26507983416966513,0.0064137513
0.01,50,0.7800164340119958,0.692744197256877,0.8367115849432046,0.9958413608131912,0.806913184817817,0.9935282178493455,0.004158639188376692,0.27727805265000327,0.006471782
0.01,75,0.7741436274550443,0.6877615716604948,0.8240803904203896,0.9959552630182281,0.8123167115936974,0.9934731122743374,0.004044736983339761,0.28990924717281846,0.006526888
0.01,100,0.7649176546455264,0.6793469014371997,0.8081468531994754,0.9960647630119095,0.819914421040229,0.9934274149682334,0.003935236989658373,0.3058427843937327,0.006572585
0.015,0,0.7986437841583728,0.7090443003037291,0.8561641151226843,0.9959167927352258,0.8088438691209762,0.9937174110215035,0.004083207266341702,0.2578255224705236,0.006282589
0.015,3,0.7986141111688655,0.7090173840186123,0.8560967585008452,0.995918364613806,0.8088642867086899,0.9937168575939209,0.004081635387761508,0.2578928790923626,0.0062831426
0.015,5,0.798547144968939,0.7089474994631048,0.8558904815212023,0.9959222613553256,0.8089550618160697,0.993716541349588,0.004077738646241773,0.2580991560720056,0.006283459
0.015,10,0.7984526466493879,0.7088763538558076,0.8552855382521284,0.9959331450324943,0.8092463252300237,0.993718280693419,0.004066854969073286,0.2587040993410798,0.006281719
0.015,20,0.7915153071875727,0.7030367020282478,0.8469074734822695,0.9959608303433555,0.8106586724461444,0.9936940880019521,0.004039169658212112,0.26708216411093877,0.006305912
0.015,30,0.7903020186457481,0.7018185111391385,0.843674523477099,0.9959922007116968,0.8110037913085523,0.9936820707173017,0.0040077992898706494,0.2703151141161093,0.0063179294
0.015,50,0.7815550740619982,0.6944930339041043,0.8314863255628265,0.9960682554268847,0.8130597158133446,0.9936091763985682,0.003931744574682582,0.2825033120303815,0.0063908235
0.015,75,0.776747006870714,0.6906947473244854,0.8205505090895547,0.9961745058409716,0.8200960158037659,0.993570515528871,0.0038254941605960473,0.29343912850365306,0.0064294846
0.015,100,0.763104731884118,0.6786217450676206,0.8019621742601737,0.9962713623544032,0.8261969936740524,0.9935026811194637,0.003728637647164625,0.31202746333303427,0.006497319
