threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.03,0,0.7993448632082023,0.7103400284321965,0.8456356406303349,0.9962703974671768,0.8187885767494787,0.9938397975783361,0.00372960253439116,0.26835399696287304,0.0061602024
0.03,3,0.7993410738431863,0.7103448272801465,0.8455497123690715,0.9962726163877927,0.8188709003751199,0.9938402719448355,0.003727383613775305,0.2684399252241367,0.006159728
0.03,5,0.7993239665947777,0.710354241580878,0.8454110499827973,0.9962757870791363,0.818948258120284,0.9938405881891683,0.0037242129224315974,0.268578587610411,0.0061594117
0.03,10,0.7988951745149474,0.7100882316733933,0.8449069766183582,0.9962832483012142,0.8191943345230642,0.9938371885625896,0.003716751700353916,0.2690826609748499,0.0061628115
0.03,20,0.7922563493804988,0.7042327688182722,0.8367101860221259,0.9963038975013719,0.8196680607894389,0.9938092800002111,0.003696102500196375,0.2772794515710822,0.00619072
0.03,30,0.791332603981897,0.7032732322832955,0.8345576685592888,0.9963316699409862,0.8200293876814916,0.9937967883490615,0.0036683300605823443,0.27943196903391915,0.006203212
0.03,50,0.7816071134878515,0.6954461497262608,0.8219370693615505,0.9963982458770528,0.8236565263935233,0.9937151182500898,0.0036017541245152154,0.2920525682316576,0.006284882
0.04,0,0.799201068265349,0.7104187857448272,0.8409823843831216,0.9964112309318262,0.8227233571775957,0.9938794071810322,0.003588769069741368,0.27300725321008645,0.006120593
0.04,3,0.7991650359956528,0.7103948837679621,0.8408654778660222,0.9964131169013654,0.8227520243972668,0.993879328119949,0.0035868831002020753,0.2731241597271857,0.006120672
0.04,5,0.7989378102048273,0.7102831729780389,0.8406732467996596,0.996415802338056,0.8228304522872322,0.9938788537534495,0.0035841976635114774,0.2733163907935482,0.006121146
0.04,10,0.7977348847526318,0.7090333935535285,0.8387729190969375,0.9964236684309589,0.8239114618125893,0.9938741891495393,0.0035763315706089436,0.27521671849627044,0.006125811
