threshold,min_area,dice,iou,sensitivity,specificity,precision,mae
0.1,0,0.79608583,0.7077634,0.824035,0.9964058,0.8365951,0.0060050846
0.1,5,0.7953913,0.7072265,0.823417,0.9964076,0.8362746,0.006006587
0.1,10,0.79536223,0.70718676,0.8232194,0.99641424,0.8364093,0.0060062706
0.15000000000000002,0,0.79331464,0.7060276,0.8099939,0.99675936,0.8490822,0.0059283953
0.15000000000000002,5,0.79310435,0.70590544,0.80974996,0.99676156,0.8509032,0.005928316
0.1,20,0.7919583,0.7048561,0.8200066,0.9964427,0.8391081,0.0060139396
0.05,0,0.7917175,0.70170003,0.8449891,0.9957804,0.808945,0.0062279576
0.05,20,0.79167086,0.70297414,0.839496,0.99581623,0.816064,0.0062275627
0.05,5,0.7912368,0.7012503,0.8444425,0.99578464,0.80900264,0.0062274043
0.15000000000000002,10,0.7912327,0.7046748,0.8082922,0.9967697,0.8509096,0.0059323483
0.2,5,0.7910997,0.70467097,0.80011463,0.99702495,0.86008686,0.0058848327
0.2,0,0.7910978,0.7046693,0.80016124,0.99702305,0.8600334,0.0058844374
0.05,10,0.79032147,0.7005189,0.8435401,0.9957893,0.81071305,0.0062289857
0.2,10,0.78957903,0.7036452,0.7989052,0.9970328,0.8601353,0.005890841
0.25,0,0.78928053,0.7029938,0.79139,0.99724394,0.8679174,0.005867044
0.25,5,0.7892494,0.70294267,0.7913012,0.99724644,0.8679495,0.0058689415
0.1,30,0.7880077,0.7018467,0.8149116,0.99646246,0.8395842,0.00603916
0.15000000000000002,20,0.7880067,0.70216584,0.80463034,0.99678695,0.8503174,0.005948477
0.25,10,0.78741235,0.70167345,0.7898086,0.9972525,0.86775434,0.0058740806
0.05,30,0.787341,0.69972444,0.83381313,0.9958505,0.8170665,0.006239817
0.2,20,0.78686595,0.7012224,0.79533345,0.99704456,0.85889924,0.0059132157
0.3,0,0.7868023,0.70066005,0.7832865,0.9974275,0.87399846,0.0058816704
0.3,5,0.7859425,0.7001509,0.7827308,0.99742943,0.8740132,0.0058832513
0.15000000000000002,30,0.78540975,0.69986105,0.80116445,0.99680215,0.85061944,0.0059804968
0.3,10,0.7846527,0.6990672,0.78117514,0.99743354,0.8733002,0.005890525
0.35000000000000003,0,0.7845488,0.6985955,0.7758345,0.99759,0.87978524,0.0058977194
0.2,30,0.78449136,0.69904995,0.7922438,0.9970577,0.85942304,0.0059431796
0.25,20,0.7841254,0.6989393,0.78587276,0.99726236,0.8671592,0.005900487
0.35000000000000003,5,0.78363395,0.6980372,0.77523977,0.9975915,0.8797528,0.0058998545
0.3,20,0.7829554,0.69758,0.7790366,0.9974438,0.87365884,0.0059140064
0.4,0,0.78236943,0.69646496,0.76884055,0.99773884,0.8851014,0.0059222286
0.35000000000000003,10,0.7821686,0.6969791,0.77376664,0.9975945,0.87934315,0.005907207
0.4,5,0.78151613,0.6959551,0.76827955,0.99774003,0.8851089,0.0059246
0.35000000000000003,20,0.7805132,0.69549465,0.7719029,0.9976001,0.8793725,0.005936934
0.4,10,0.78044486,0.69509447,0.767099,0.9977424,0.8845915,0.005931795
0.45,0,0.77973264,0.6941254,0.76204604,0.99787354,0.8898153,0.005953853
0.4,20,0.7791932,0.69398016,0.7657681,0.99774563,0.88460195,0.005957648
