threshold,min_area,dice,iou,sensitivity,specificity,precision,mae
0.05,0,0.785596,0.6963649,0.81250346,0.996783,0.82694453,0.0063323975
0.05,5,0.7854179,0.6962385,0.8122886,0.99678713,0.82707727,0.006332556
0.1,0,0.7839606,0.69490105,0.800609,0.9971214,0.83710265,0.0062938156
0.05,10,0.7830544,0.69459003,0.8102982,0.9967944,0.83238465,0.006338406
0.1,5,0.78281784,0.6942225,0.7998659,0.99712414,0.84226143,0.0062946063
0.15000000000000002,0,0.78250146,0.6932869,0.79175574,0.99733865,0.8442002,0.006293025
0.1,10,0.78214735,0.6937162,0.799223,0.9971293,0.84231645,0.0063025123
0.15000000000000002,5,0.7818521,0.6928817,0.7913096,0.9973407,0.84939164,0.0062948433
0.2,0,0.78103596,0.6918867,0.78387153,0.99753314,0.8554705,0.0063037775
0.2,5,0.7808256,0.691718,0.78361624,0.9975358,0.85892105,0.0063064652
0.15000000000000002,10,0.7802199,0.69172686,0.7898245,0.9973498,0.8517057,0.006300457
0.2,10,0.7801136,0.69121057,0.78286034,0.9975447,0.85914564,0.0063106557
0.1,20,0.7792117,0.69134104,0.7952166,0.9971629,0.8443584,0.006306228
0.05,20,0.77902126,0.69140846,0.80547655,0.99682695,0.834283,0.0063506607
0.25,0,0.77870154,0.6889074,0.77201265,0.99778533,0.8683159,0.006374616
0.25,5,0.7783239,0.6885466,0.77160156,0.99778694,0.86827713,0.0063792807
0.25,10,0.7779666,0.6882896,0.7711172,0.99779296,0.86854404,0.006385922
0.15000000000000002,20,0.777746,0.6896226,0.7865078,0.9973752,0.8511819,0.006314055
0.05,30,0.7770183,0.6898837,0.8028245,0.9968603,0.83557683,0.0063649705
0.2,20,0.7764178,0.68813974,0.77840996,0.9975646,0.85848033,0.006333425
0.3,0,0.7760978,0.68544513,0.7626623,0.9979536,0.87482876,0.0064853015
0.3,5,0.7755361,0.68500626,0.76216763,0.9979544,0.8748624,0.006489808
0.3,10,0.7753204,0.6847134,0.76169604,0.9979622,0.87498105,0.006495105
0.25,20,0.77492374,0.685646,0.7676126,0.99780715,0.8677995,0.0064167557
0.1,30,0.77418494,0.68756133,0.7900264,0.9971902,0.84601104,0.006344415
0.2,30,0.7734614,0.6858116,0.77499974,0.9975915,0.85982156,0.0063648126
0.35000000000000003,0,0.77344495,0.68246806,0.7552105,0.9980759,0.87937415,0.0065479972
0.15000000000000002,30,0.77340555,0.6861333,0.7810517,0.99740964,0.8534457,0.0063571436
0.35000000000000003,5,0.7730251,0.68213564,0.75483364,0.9980779,0.8794214,0.0065502105
0.3,20,0.77260053,0.6823766,0.758691,0.9979723,0.87420577,0.006528785
0.35000000000000003,10,0.7719375,0.6811572,0.7534724,0.99808246,0.8787883,0.006560805
0.25,30,0.77114844,0.6828928,0.7642865,0.99782866,0.8689246,0.006447431
0.4,0,0.7709634,0.6795506,0.7483865,0.9981835,0.8834445,0.00661425
0.4,5,0.77051115,0.67914116,0.7479251,0.9981857,0.8834515,0.0066170176
0.05,50,0.7692667,0.6832418,0.79245067,0.99693584,0.84135115,0.0064371536
0.4,10,0.76869476,0.6778334,0.746335,0.99818856,0.8828234,0.0066272165
0.45,0,0.7684215,0.67657876,0.74122083,0.9983005,0.8889092,0.006691414
0.3,30,0.7681454,0.679243,0.7549186,0.99799025,0.87482953,0.006561991
0.35000000000000003,20,0.7681178,0.67833066,0.7502272,0.9980927,0.87888986,0.00659322
0.45,5,0.76806116,0.6762722,0.74087083,0.998302,0.88890535,0.006694339
0.45,10,0.76672,0.67532367,0.7396569,0.99830604,0.88841206,0.00670098
0.1,50,0.76617086,0.68086535,0.78022695,0.9972536,0.8534909,0.0064154905
0.4,20,0.76594394,0.6756583,0.7437699,0.99819607,0.8828182,0.0066603427
0.15000000000000002,50,0.76364404,0.6786375,0.7713828,0.99745446,0.8616636,0.0064215786
0.2,50,0.76359236,0.6780575,0.76429564,0.9976467,0.8682444,0.006442925
0.35000000000000003,30,0.76348025,0.674886,0.7460243,0.9981089,0.8802296,0.006628402
0.45,20,0.76283836,0.67246234,0.73627627,0.9983157,0.88923234,0.0067341067
0.25,50,0.761776,0.6754294,0.7541172,0.9978785,0.8755741,0.006521195
0.5,0,0.76030886,0.66847056,0.7262827,0.99846387,0.8973008,0.0069242488
0.3,50,0.76009184,0.67268175,0.7462703,0.998033,0.8813891,0.006632197
0.5,5,0.7596956,0.66798395,0.72562593,0.9984654,0.8969719,0.0069267787
0.5,10,0.75924397,0.66761804,0.7251808,0.9984683,0.8970349,0.0069365823
0.4,30,0.7589434,0.6708752,0.7379867,0.99821585,0.8887685,0.006695683
0.05,75,0.7582719,0.6746892,0.7777221,0.9970488,0.8505975,0.0065019834
0.35000000000000003,50,0.75765115,0.6699139,0.73931354,0.99815106,0.8854103,0.0067049335
0.1,75,0.7567912,0.6725415,0.76610094,0.99736243,0.8590113,0.0065113916
0.5,20,0.7566843,0.66579443,0.72300494,0.998477,0.8970639,0.00695864
0.45,30,0.75655913,0.6680891,0.73117095,0.9983329,0.893322,0.006775772
0.55,0,0.7548375,0.66144866,0.71453696,0.9985805,0.90264815,0.0072139287
0.55,5,0.7543049,0.66101325,0.7139677,0.99858135,0.9022614,0.0072166957
0.2,75,0.75384057,0.6693311,0.75066143,0.9977615,0.87449694,0.006548076
0.15000000000000002,75,0.7538045,0.6698705,0.75666803,0.99758154,0.8684366,0.0065332917
0.55,10,0.7536106,0.66050506,0.71338505,0.99858433,0.9021729,0.00722729
0.5,30,0.7527613,0.6629634,0.7194083,0.9984928,0.9005543,0.0069923205
0.6000000000000001,0,0.75163776,0.6575955,0.70738053,0.99866843,0.9057287,0.0073265117
0.6000000000000001,5,0.75131196,0.6573027,0.7070063,0.99866956,0.9055255,0.007331018
0.55,20,0.7510967,0.6588047,0.71127415,0.9985931,0.90279216,0.0072504547
0.6000000000000001,10,0.750514,0.65668774,0.7063166,0.9986723,0.9053928,0.007342798
0.25,75,0.7498226,0.66510946,0.7395562,0.9979754,0.8819847,0.0066296672
0.4,50,0.74882996,0.6626063,0.7283133,0.9982552,0.8902493,0.006783283
0.6500000000000001,0,0.7485634,0.65385973,0.70042735,0.9987527,0.90990263,0.0074428106
0.6000000000000001,20,0.7482641,0.6551818,0.70450145,0.9986795,0.905993,0.007362089
0.6500000000000001,5,0.7481965,0.6535829,0.7000974,0.99875385,0.90979916,0.0074470798
0.6500000000000001,10,0.7478244,0.6532649,0.69969517,0.99875623,0.90985614,0.007455618
0.45,50,0.74767435,0.6605378,0.72212195,0.9983717,0.89510113,0.006862423
0.05,100,0.7467849,0.6635822,0.76172256,0.9971689,0.8557252,0.006613064
0.3,75,0.7466641,0.66141784,0.7308541,0.99812293,0.88749605,0.006757272
0.1,100,0.74531716,0.66155624,0.7513285,0.99744743,0.8631637,0.006639708
0.55,30,0.7451083,0.6543296,0.70616287,0.9986064,0.90616065,0.0073079322
