case_id,slice_idx,type,box_id,x,y,w,h,area,dice,threshold,min_area
coronacases_001,79,prediction,1,114,149,7,7,42,0.5000000008333333,0.03,0
coronacases_001,79,ground_truth,1,116,151,5,4,16,0.5000000008333333,0.03,0
coronacases_004,90,prediction,1,102,179,20,24,230,0.6028513238693634,0.03,0
coronacases_004,90,prediction,2,124,203,13,9,78,0.6028513238693634,0.03,0
coronacases_004,90,prediction,3,138,205,13,10,102,0.6028513238693634,0.03,0
coronacases_004,90,prediction,4,162,206,15,9,112,0.6028513238693634,0.03,0
coronacases_004,90,ground_truth,1,106,185,48,27,394,0.6028513238693634,0.03,0
coronacases_004,90,ground_truth,2,137,189,3,7,20,0.6028513238693634,0.03,0
coronacases_004,90,ground_truth,3,167,207,9,7,46,0.6028513238693634,0.03,0
coronacases_004,103,prediction,1,100,178,17,22,154,0.6808510639052362,0.03,0
coronacases_004,103,prediction,2,164,192,4,3,8,0.6808510639052362,0.03,0
coronacases_004,103,prediction,3,163,205,10,8,64,0.6808510639052362,0.03,0
coronacases_004,103,ground_truth,1,101,179,19,18,141,0.6808510639052362,0.03,0
coronacases_004,103,ground_truth,2,165,193,4,10,35,0.6808510639052362,0.03,0
coronacases_004,103,ground_truth,3,165,207,6,4,21,0.6808510639052362,0.03,0
coronacases_004,114,prediction,1,99,171,17,23,227,0.7378640777208032,0.03,0
coronacases_004,114,prediction,2,129,172,4,9,28,0.7378640777208032,0.03,0
coronacases_004,114,ground_truth,1,125,171,11,9,73,0.7378640777208032,0.03,0
coronacases_004,114,ground_truth,2,101,173,11,20,165,0.7378640777208032,0.03,0
coronacases_004,114,ground_truth,3,129,187,6,4,20,0.7378640777208032,0.03,0
coronacases_004,172,prediction,1,114,184,8,10,48,0.786516854172453,0.03,0
coronacases_004,172,ground_truth,1,114,185,9,11,41,0.786516854172453,0.03,0
coronacases_004,140,prediction,1,102,171,31,30,405,0.820512820534736,0.03,0
coronacases_004,140,ground_truth,1,103,173,34,26,414,0.820512820534736,0.03,0
coronacases_004,141,prediction,1,102,170,31,31,403,0.8598382749515042,0.03,0
coronacases_004,141,ground_truth,1,103,171,32,29,339,0.8598382749515042,0.03,0
coronacases_001,96,prediction,1,129,85,4,3,12,0.897777777784268,0.03,0
coronacases_001,96,prediction,2,109,135,35,52,781,0.897777777784268,0.03,0
coronacases_001,96,ground_truth,1,129,85,11,10,67,0.897777777784268,0.03,0
coronacases_001,96,ground_truth,2,110,136,35,51,715,0.897777777784268,0.03,0
