case_id,slice_idx,box_id,x,y,w,h,area,lesion_pixels_total
coronacases_001,80,1,116,152,4,3,10,10
coronacases_009,171,1,163,72,12,15,121,159
coronacases_009,171,2,177,80,6,3,14,159
coronacases_009,171,3,179,85,8,4,24,159
coronacases_004,154,1,105,175,31,27,274,274
coronacases_004,132,1,102,175,33,24,390,398
coronacases_004,85,1,103,179,73,36,661,661
coronacases_001,189,1,139,69,24,24,261,925
coronacases_001,189,2,170,85,30,19,351,925
coronacases_001,189,3,115,86,11,18,118,925
coronacases_001,189,4,139,95,6,7,22,925
coronacases_001,189,5,133,157,6,4,15,925
coronacases_001,189,6,139,172,15,13,142,925
coronacases_001,189,7,132,183,3,4,11,925
coronacases_001,104,1,137,53,12,14,79,1338
coronacases_001,104,2,126,79,20,29,323,1338
coronacases_001,104,3,147,89,5,5,20,1338
coronacases_001,104,4,109,137,35,50,916,1338
radiopaedia_7,34,1,110,42,91,85,4403,4460
radiopaedia_7,34,2,104,198,7,13,57,4460
