mode,threshold,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
raw_probability,0.01,0.034572235679455963,0.01759018383023999,0.6023188129201763,0.9275225107936433,0.0177968753964962,0.9268150070086619,0.07318498939275742,12624,8916119,696714,8335
raw_probability,0.02,0.0450904201582413,0.023065220316681435,0.5888162603174822,0.9465205522659128,0.02344281290959817,0.9457423411259026,0.05425765737891197,12341,9098744,514089,8618
raw_probability,0.03,0.0565749449157069,0.029110947585911953,0.5794646691156164,0.9587803096132005,0.02973923988020976,0.9579550814466402,0.04204491898417473,12145,9216595,396238,8814
raw_probability,0.04,0.07065972935082707,0.03662377778858671,0.574741161314674,0.9679643867733884,0.03764386763708519,0.9671089016661343,0.03289109840989113,12046,9304880,307953,8913
raw_probability,0.05,0.08683654425700629,0.045388983359648465,0.5705424877138363,0.9747736177253876,0.046994556994358644,0.9738941841384982,0.026105815544724464,11958,9370336,242497,9001
raw_probability,0.06,0.10364452274937075,0.05465458559469898,0.5669640727131223,0.9795626325766806,0.05703547978343235,0.9786649950507538,0.02133500576019287,11883,9416372,196461,9076
raw_probability,0.07,0.12003028963189355,0.0638469274105438,0.5634333699124179,0.9829395767095913,0.06716986712777193,0.9820269111062384,0.01797308959066868,11809,9448834,163999,9150
raw_probability,0.08,0.1374193849892433,0.07377902673407222,0.5611908965119704,0.9855960256461327,0.0782958894990795,0.984672702088647,0.01532729808241129,11762,9474370,138463,9197
raw_probability,0.09,0.15555614575585922,0.0843376963727674,0.5589007109115135,0.9877315043338412,0.0903516417403844,0.986798552428783,0.013201447203755379,11714,9494898,117935,9245
raw_probability,0.1,0.17477791664482567,0.0957570688184662,0.5571353595111612,0.9894947722487212,0.10364630487652415,0.9885541435812597,0.011445856653153896,11677,9511848,100985,9282
raw_probability,0.11,0.19460870001587494,0.1077930861955445,0.5550837349107519,0.9909527191411721,0.11798709991479879,0.9900044551512002,0.009995545260608196,11634,9525863,86970,9325
raw_probability,0.12,0.2145036333043457,0.12013669549007196,0.5535092323104377,0.9921348888511837,0.13302831194742015,0.9911806275244464,0.00881937239319086,11601,9537227,75606,9358
raw_probability,0.13,0.23444345286384125,0.13278728072693163,0.5515053199100379,0.9931248155460508,0.1488621875362015,0.9921640409093315,0.00783595908433199,11559,9546743,66090,9400
raw_probability,0.14,0.25349694601879125,0.14514543529765778,0.549501407509638,0.9939259321367583,0.16474980688350574,0.9929590549598736,0.007040944881737232,11517,9554444,58389,9442
raw_probability,0.15,0.27276504314997774,0.15792005718053692,0.5481654659093715,0.9946120982232803,0.1815524161688661,0.9936408218072376,0.006359178107231855,11489,9561040,51793,9470
raw_probability,0.16,0.291160958251218,0.1703852446824081,0.5465432511090479,0.9951865386613905,0.19843744586491383,0.9942104832655709,0.00578951695933938,11455,9566562,46271,9504
raw_probability,0.17,0.31025540061639534,0.18361082540495893,0.5451118851087623,0.9957073008550124,0.21683431391151703,0.9947269984654008,0.005273001734167337,11425,9571568,41265,9534
raw_probability,0.18,0.3294121043287006,0.19718334197335458,0.544443914308629,0.9961602370497845,0.2361450271097562,0.995177496047246,0.0048225037753582,11411,9575922,36911,9548
