threshold,dice,iou,sensitivity,specificity,precision,mae,tp,tn,fp,fn
0.01,0.04127804917876575,0.02107397079072866,0.7236509375443849,0.9273113347542802,0.021244945098198218,0.0731317400932312,15167,8914089,698744,5792
0.02,0.05864394158772063,0.030207720697913627,0.6763681473349509,0.9533618237204361,0.030650744538930064,0.04724079743027687,14176,9164508,448325,6783
0.03,0.08419056938413295,0.04394516909600375,0.6568061453310479,0.9695932510218362,0.04497796190955251,0.03108724020421505,13766,9320538,292295,7193
0.04,0.12875123771802266,0.06880498216656734,0.6452120807287346,0.9817346249539538,0.07151053647444162,0.01899750344455242,13523,9437251,175582,7436
0.05,0.18397122083588113,0.10130413292269484,0.6356219285268211,0.988500164311602,0.10754997255141703,0.01226754765957594,13322,9502287,110546,7637
0.06,0.2328981446287726,0.1317966725691916,0.6285605229254122,0.9917820272129965,0.1429284381373798,0.009008186869323254,13174,9533835,78998,7785
0.07,0.2756465084845698,0.1598549890384255,0.6227396345242507,0.9936865646162781,0.17699547069510227,0.007120457012206316,13052,9552143,60690,7907
0.08,0.3087589498806314,0.18256353809460754,0.6172527315231561,0.9948086063702543,0.2058687799366328,0.00601279316470027,12937,9562929,49904,8022
0.09,0.3342582099078596,0.20066628087020025,0.6121475261221374,0.9955291015666236,0.22989535550454598,0.0053049721755087376,12830,9569855,42978,8129
0.1,0.35557915030939863,0.21623366693282992,0.6071854573211474,0.9960579779134819,0.2514026076649049,0.0047880420461297035,12726,9574939,37894,8233
0.11,0.3722943722943175,0.2287234042552778,0.6031776325203477,0.9964305007691271,0.26923650303476326,0.004425048828125,12642,9578520,34313,8317
0.12,0.3858176956060083,0.23901742359321357,0.598883534519491,0.9967173048777599,0.28457422689755046,0.0041482108645141125,12552,9581277,31556,8407
0.13,0.3975790395794541,0.24811148218824586,0.595495968318815,0.9969473099137363,0.2984029072824802,0.003926075994968414,12481,9583488,29345,8478
0.14,0.40707006055825135,0.25554800024721197,0.591726704518063,0.9971317508584608,0.3102516635812503,0.0037502367049455643,12402,9585261,27572,8557
0.15,0.41509497507739207,0.2619052678551899,0.58805286511733,0.9972848794939005,0.3207547169810486,0.0036054339725524187,12325,9586733,26100,8634
0.16,0.4219142277400657,0.2673582356273662,0.5853332697167873,0.9974069038752666,0.3298292781286921,0.003489591646939516,12268,9587906,24927,8691
0.17,0.42820355610047683,0.27242939616158696,0.5831385085163494,0.997513324115793,0.3383158943696124,0.0033881778363138437,12222,9588929,23904,8737
0.18,0.4328297118857451,0.2761855014534257,0.5802280643157688,0.9975997710560446,0.34514957143658254,0.0033082508016377687,12161,9589760,23073,8798
0.19,0.4371183930054487,0.279687463880284,0.5772699079151785,0.9976801843951716,0.3517253408528295,0.003234448144212365,12099,9590533,22300,8860
0.2,0.4415275336847464,0.28330788206266105,0.5753614199147977,0.9977523795534564,0.35820585177473396,0.00316656194627285,12059,9591227,21606,8900
0.21,0.4444321042498807,0.28570408624662996,0.5727849611142837,0.9978091786261127,0.3630727355208338,0.003115491708740592,12005,9591773,21060,8954
0.22,0.4476555919512499,0.2883738876696437,0.5705424877138363,0.9978666018644026,0.368323784882533,0.00306307221762836,11958,9592325,20508,9001
0.23,0.4503261177804234,0.29059411979985594,0.5682523021133793,0.9979167431703007,0.37293336673335015,0.00301802228204906,11910,9592807,20026,9049
0.24,0.4530793747732784,0.29289115898036056,0.5663438141129985,0.9979643878136644,0.3775685476174128,0.0029746333602815866,11870,9593265,19568,9089
0.25,0.4553734763435221,0.2948113795596044,0.5641490529125606,0.9980080794080154,0.38176417409260566,0.0029358118772506714,11824,9593685,19148,9135
0.26,0.4576320540445213,0.2967074460050605,0.5623837015122084,0.9980477139257481,0.38577600314185184,0.0029001040384173393,11787,9594066,18767,9172
0.27,0.45967789280044236,0.2984297184672481,0.5603797891118085,0.9980862041398192,0.3896556300177859,0.002866057213395834,11745,9594436,18397,9214
0.28,0.4619235317302992,0.30032546577476227,0.5591392719115611,0.9981210533876944,0.3935059265973629,0.0028339826967567205,11719,9594771,18062,9240
0.29,0.4633212294381683,0.3015081865605337,0.5570399351111421,0.9981521576417681,0.3965962361572129,0.0028075133450329304,11675,9595070,17763,9284
0.3,0.46510326076081787,0.303019251308958,0.5549883105107328,0.9981870068896433,0.40027529249814164,0.0027772034518420696,11632,9595405,17428,9327
0.31,0.46678078743319573,0.30444491146947295,0.5529366859103235,0.9982203997510402,0.40385419570657793,0.0027483466546982527,11589,9595726,17107,9370
0.32,0.46827647678460654,0.3057186689942587,0.5514576077100284,0.9982474469284955,0.40690019362773916,0.0027245760429650545,11558,9595986,16847,9401
0.33,0.47014697188974663,0.307315123251084,0.5502170905097808,0.9982766786856685,0.41042067051021053,0.002698106924071908,11532,9596267,16566,9427
0.34,0.47143735903209527,0.30841873692109556,0.5484994513094381,0.9983027896146734,0.41336161950292566,0.0026757896412163973,11496,9596518,16315,9463
0.35,0.47302955919047984,0.3097830491988464,0.5470680853091526,0.9983299408197345,0.4166424418603137,0.00265181134454906,11466,9596779,16054,9493
0.36,0.4743371644329127,0.3109056295892546,0.5454458705088289,0.9983552195278947,0.4196307308297839,0.0026301168836653233,11432,9597022,15811,9527
0.37,0.47599365397451654,0.31233049338401986,0.5439667923085338,0.9983829948985893,0.4231211727591675,0.002605619840323925,11401,9597289,15544,9558
0.38,0.4777824443510127,0.31387264098876677,0.5427739873082958,0.998409938048439,0.42669067176759057,0.002581330481916666,11376,9597548,15285,9583
0.39,0.4787559950137376,0.3147134801810187,0.5405792261078579,0.9984352167565993,0.4296223267099842,0.002560881432145834,11330,9597791,15042,9629
0.4,0.4792321413402533,0.31512511170679314,0.53838446490742,0.9984552940844796,0.43179122182664376,0.002545622643083334,11284,9597984,14849,9675
0.41,0.48056190089868267,0.3162760636204361,0.5370008111071439,0.9984783882129223,0.4348582026116858,0.002525589196011424,11255,9598206,14627,9704
0.42,0.48192357234854405,0.31745672587387785,0.5355217329068488,0.9985023145622097,0.43807813902640874,0.0025049326941370964,11224,9598436,14397,9735
0.43,0.4828285443091547,0.31824257073785917,0.5339472303065347,0.9985221838348789,0.4406425955819819,0.002488532103598118,11191,9598627,14206,9768
0.44,0.4838940586971034,0.31916902738423353,0.5321818789061824,0.9985448618528993,0.4436401240949631,0.0024697440676391125,11154,9598845,13988,9805
0.45,0.4847652674250284,0.31992750496236594,0.5306073763058683,0.9985642109875403,0.4462143401675375,0.0024538624566048384,11121,9599031,13802,9838
0.46,0.48595837897032074,0.32096764859068205,0.5292237225055922,0.9985853285914768,0.44923251387126917,0.0024358010850846767,11092,9599234,13599,9867
0.47,0.48670657628301645,0.32162075685729036,0.527553795505259,0.9986039495328787,0.4517301956937322,0.002420853590592742,11057,9599413,13420,9902
0.48,0.48772721241862643,0.3225127215299987,0.526170141704983,0.9986231946399142,0.4545192268060608,0.0024046606849879026,11028,9599598,13235,9931
0.49,0.4886578239906489,0.32332706103718595,0.5246910635046879,0.998642127664133,0.4572557172555271,0.002388986526057124,10997,9599780,13053,9962
0.5,0.4896209990624326,0.3241709522964107,0.5233074097044118,0.9986606445779294,0.46000922702660735,0.0023735202848911285,10968,9599958,12875,9991
0.51,0.4905999012876362,0.32502972651595574,0.5216851949040882,0.9986808259334153,0.46301079822127333,0.0023569120094180107,10934,9600152,12681,10025
0.52,0.49150592216570976,0.3258255563530971,0.5197289947036978,0.9987024636753796,0.46619019087543173,0.002339577302336693,10893,9600360,12473,10066
