case_id,slice_idx,image_path,lung_mask_path,old_lung_pixels,new_lung_pixels,lesion_pixels
study_0255,8,data/dataset2_mosmed/processed/images/study_0255_slice_008.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_008.npy,62500,8993,0
study_0255,9,data/dataset2_mosmed/processed/images/study_0255_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_009.npy,62500,10196,0
study_0255,10,data/dataset2_mosmed/processed/images/study_0255_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_010.npy,62500,10753,17
study_0255,11,data/dataset2_mosmed/processed/images/study_0255_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_011.npy,62500,10665,542
study_0255,12,data/dataset2_mosmed/processed/images/study_0255_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_012.npy,62500,10279,509
study_0255,13,data/dataset2_mosmed/processed/images/study_0255_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_013.npy,62500,10930,672
study_0255,14,data/dataset2_mosmed/processed/images/study_0255_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_014.npy,62500,11172,915
study_0255,15,data/dataset2_mosmed/processed/images/study_0255_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_015.npy,62500,11151,1052
study_0255,16,data/dataset2_mosmed/processed/images/study_0255_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_016.npy,62500,10891,1536
study_0255,17,data/dataset2_mosmed/processed/images/study_0255_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_017.npy,62500,11298,1289
study_0255,18,data/dataset2_mosmed/processed/images/study_0255_slice_018.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_018.npy,62500,11334,754
study_0255,19,data/dataset2_mosmed/processed/images/study_0255_slice_019.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_019.npy,62500,11265,386
study_0255,20,data/dataset2_mosmed/processed/images/study_0255_slice_020.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_020.npy,62500,10236,256
study_0255,21,data/dataset2_mosmed/processed/images/study_0255_slice_021.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_021.npy,62500,10995,414
